Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
270_Moglii  Tonic Water (Snocker Cot Remix)  Chroma 20,-16.9177,-12.75,"(0.0, -98.64)","(110.0, -4.5912)",3.6543,137.0339,140.6882
271_Kasai Harcores – Drop The Fire,-11.3646,-9.64,"(0.0, -81.28)","(97.0, -5.7904)",1.2566,235.3187,236.5754
272_Dazzling White Town [Love Live! Soundtrack] – Saint Snow,-24.1157,-19.2399,"(0.0, -95.3199)","(17.0, -12.0803)",2.171,139.992,142.1631
273_Calliope Mori – Excuse My Rudeness But Could You Please RIP,-15.5912,-12.9,"(0.0, -98.04)","(97.0, -8.3049)",3.9151,188.1475,192.0627
274_Rail Romanesque – MItuki Nakae [まいてつ] レイルロマネスク,-15.6228,-11.94,"(0.0, -98.67)","(61.0, -8.1719)",0.9321,96.6485,97.5807
275_bonk,-25.1651,-13.92,"(124.0, -95.9143)","(9.0, -3.9032)",0.09,59.9088,59.9989
276_FOOL & SKUM – Hysteria (v2),-11.7022,-9.7899,"(0.0, -51.67)","(108.0, -3.1962)",2.1376,212.2626,214.4003
277_“Only Us” featuring Laura Dreyfuss and Ben Platt  DEAR EVAN HANSEN,-16.9497,-13.85,"(0.0, -64.66)","(81.0, -6.8381)",0.0612,223.8593,223.9205
278_FINAL FANTASY XVI – Awakening (Alex Moukala Mix),-15.3257,-14.49,"(127.0, -41.6482)","(7.0, -8.6344)",0.6715,70.2759,70.9475
279_[KSHMR Pack] KSHMR – Wildcard (ft Sidnie Tipton),-11.7986,-10.43,"(0.0, -58.69)","(106.0, -4.6083)",1.4041,187.5351,188.9393
280_DAOKO × 米津玄師 – 打上花火 feat96猫 & 天月,-17.3755,-12.1,"(127.0, -97.1687)","(75.0, -7.7775)",0.1508,293.0924,293.2433
281_[KSHMR Pack] KSHMR x Firebeatz – No Heroes (ft Luciana),-14.4436,-12.14,"(0.0, -77.47)","(104.0, -7.155)",0.4815,156.9834,157.465
282_“Only Us” featuring Laura Dreyfuss and Ben Platt  DEAR EVAN HANSEN,-16.9497,-13.85,"(0.0, -64.66)","(81.0, -6.8381)",0.0612,223.8593,223.9205
283_だんだん高くなる (Getting Higher and Higher) – 40meterP feat Hastune Miku [Noodle Extensions],-11.2862,-8.7899,"(0.0, -98.64)","(75.0, -5.9625)",2.4926,143.3159,145.8086
284_Have You Ever Had a Dream (Metal Remix),-20.5212,-11.2899,"(1.0, -98.6604)","(77.0, -5.2003)",1.0517,20.5645,21.6163
285_Avalanche,-18.2442,-14.2,"(0.0, -40.97)","(49.0, -5.876)",0.1043,202.7901,202.8945
286_Mirror [227 Soundtrack] – Sakura Fujima,-14.4815,-10.07,"(0.0, -98.66)","(87.0, -6.1724)",5.016,273.0302,278.0462
287_I made a shark sound MAD – IOSYS,-13.3862,-10.91,"(0.0, -96.53)","(72.0, -8.2125)",1.4122,55.1621,56.5743
288_Calliope Mori – Excuse My Rudeness But Could You Please RIP,-16.5114,-12.82,"(127.0, -97.7332)","(76.0, -8.5559)",0.1158,188.1355,188.2513
289_September Eurobeat Remix,-14.9095,-12.28,"(0.0, -98.58)","(29.0, -9.7236)",2.468,199.8347,202.3027
290_Rising Hope [227 Soundtrack] – Reika Sato,-16.6634,-13.1,"(0.0, -98.48)","(32.0, -9.0)",2.3997,93.8222,96.222
291_Chocolate (Choco Choco) – Soul Control,-15.8248,-15.11,"(92.0, -31.6865)","(103.0, -12.1375)",0.002,178.7669,178.7689
292_Grilletto [227 Soundtrack] – Yuki Tojo,-14.0834,-11.81,"(0.0, -98.66)","(71.0, -8.6744)",0.9234,264.0147,264.9382
293_John Mayer – New Light,-16.8626,-11.36,"(0.0, -98.56)","(43.0, -5.0492)",5.4553,221.7848,227.2402
294_Hall Of The Mountain King – Apocalyptica,-15.4053,-12.31,"(0.0, -98.66)","(2.0, -8.6123)",0.4331,208.5914,209.0245
295_PSYQUIV & K feat DJKatsuya,-14.692,-9.69,"(0.0, -98.66)","(45.0, -3.3568)",0.088,335.9385,336.0265
296_Hana ranman -Flowers- – TERRA,-12.479,-10.5,"(0.0, -98.66)","(9.0, -7.8798)",0.1364,103.7137,103.8501
297_Disturbia – Rihanna,-17.065,-14.15,"(0.0, -89.7)","(33.0, -9.6003)",1.3034,260.0589,261.3623
298_Fuyu no Hanashi [Given OST] – Given,-12.3202,-11.19,"(0.0, -91.8199)","(65.0, -8.1692)",0.9375,205.4983,206.4359
299_Shawn Mendes Zedd – Lost In Japan,-16.6385,-10.2899,"(0.0, -98.66)","(66.0, -3.95)",1.9355,202.863,204.7985
300_Ryllz – Nemesis V12,-17.3504,-9.72,"(0.0, -98.69)","(31.0, -2.6687)",0.0851,160.8973,160.9824
301_BON VOYAGE! (TV Size) [One Piece 4th Opening] – Bon-Bon Blanco,-18.8155,-16.04,"(0.0, -98.31)","(45.0, -12.2978)",4.0436,106.4122,110.4558
