Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
144_Everyday – Virtual Riot,-15.1899,-11.59,"(127.0, -62.0642)","(28.0, -5.8461)",0.0047,233.9801,233.9849
145_Rockefeller Street (EightOEight Hardstyle Remix),-11.534,-9.24,"(127.0, -50.13)","(44.0, -4.6899)",0.047,238.5252,238.5723
146_Save Us From Ourselves [Arknights Soundtrack] – Bear Grillz ft Micah Martin,-11.9909,-8.83,"(0.0, -98.73)","(93.0, -4.2262)",0.9192,188.5021,189.4214
147_I want You 반짝★반짝 Sunshine DJMAX,-11.5822,-10.24,"(0.0, -61.48)","(41.0, -6.7152)",2.9385,133.8022,136.7408
148_Digital Girl – KIRA,-12.1738,-9.73,"(0.0, -98.66)","(25.0, -4.5108)",0.2182,182.4052,182.6234
149_Ding Dong Song – Günther & The Sunshine Girls,-16.4257,-13.36,"(0.0, -98.68)","(76.0, -9.0525)",0.8412,243.4664,244.3076
150_Aoi Haru,-15.5575,-12.33,"(0.0, -98.66)","(63.0, -6.5768)",0.37,246.3989,246.769
151_Tuesday (feat Danelle Sandoval)  Burak Yeter,-14.7652,-10.57,"(0.0, -98.66)","(48.0, -4.5587)",0.228,190.0931,190.3212
152_Takin’ It To The Streets – The Doobie Brothers,-22.7474,-19.42,"(0.0, -95.3199)","(104.0, -13.9387)",0.1302,215.6401,215.7703
153_Nothing For Free – Pendulum,-13.5106,-10.41,"(0.0, -98.66)","(77.0, -5.7653)",0.1495,182.9967,183.1463
154_Aiobahn and Yunomi feat nicamoq – Makuramoto ni Ghost Katomori Remix,-13.0731,-10.7899,"(0.0, -98.66)","(67.0, -7.2191)",1.2324,210.3582,211.5907
155_WINNER – REALLY REALLY (Japanese vers),-13.9768,-9.93,"(0.0, -98.66)","(50.0, -6.0622)",0.8668,243.9628,244.8297
156_Rick Springfield – Jessie’s Girl,-22.1991,-18.11,"(0.0, -90.87)","(110.0, -11.5612)",0.1559,195.0063,195.1622
157_Rita – DORCHADAS [Shikkoku no Sharnoth Opening],-14.4528,-11.98,"(0.0, -98.66)","(62.0, -8.5768)",0.595,277.7531,278.3481
158_Girls’ Generation (SNSD) – All Night,-13.6191,-10.15,"(1.0, -98.6467)","(53.0, -4.5189)",0.476,230.9909,231.467
159_Hacking to the Gate [iDOLM@STER Soundtrack] – Ranko Kanzaki,-17.9764,-13.99,"(4.0, -91.0775)","(117.0, -11.3206)",5.3542,127.6602,133.0144
160_Blind Guardian – Road of No Release,-15.4042,-13.13,"(127.0, -75.7303)","(89.0, -8.5015)",0.0,390.8357,390.8357
161_PSYQUI – Education,-11.7542,-8.98,"(1.0, -98.8091)","(12.0, -4.6756)",2.076,224.9207,226.9968
162_[Extra Sensory] Hayako – Analys,-14.841,-11.55,"(0.0, -88.48)","(111.0, -8.837)",3.6124,125.3385,128.9509
163_[FUTURE FUNK PACK] Windy Summer (Night Tempo 100 Pure Remastered),-19.047,-16.2399,"(0.0, -98.17)","(25.0, -12.2346)",0.1259,200.4465,200.5725
164_[FUTURE FUNK PACK] Remember Summer Days (MACROSS 82-99 Short Ver),-14.7759,-12.35,"(0.0, -98.65)","(100.0, -6.6953)",3.3588,262.6595,266.0183
