Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
186_[FUTURE FUNK PACK] September – Tenma Tenma,-10.5202,-9.36,"(127.0, -34.9707)","(59.0, -4.7074)",0.2115,236.1004,237.051
187_Elektronomia – Summer Vibes,-10.3209,-8.81,"(127.0, -39.3664)","(46.0, -5.0306)",0.0217,298.7943,299.0139
188_Skrillex – Fuji Opener (Virtual Riot & Xomega Remix),-15.2876,-14.26,"(36.0, -27.6103)","(39.0, -9.7781)",0.8253,116.0068,117.1087
189_[FUTURE FUNK PACK] Megumi no Hito (Night Tempo Showa Groove Mix),-14.3314,-13.76,"(98.0, -31.9639)","(43.0, -10.4071)",0.1467,185.1094,237.806
190_Twice – LIKEY,-11.7565,-10.03,"(1.0, -42.6212)","(50.0, -5.8675)",0.1729,213.7629,221.4472
191_Starlight – B3LLA (feat Reichuu),-12.1402,-10.08,"(127.0, -49.7206)","(108.0, -4.8212)",4.9032,181.58,186.803
192_Laur – Metamorphose,-7.8302,-6.62,"(126.0, -61.4887)","(58.0, -3.345)",3.2748,145.3569,150.0578
193_Don’t Stop – KUURO,-11.5114,-9.53,"(125.0, -27.9081)","(32.0, -2.6825)",3.9805,161.3786,166.6713
194_[Extra Sensory] LeaF – Doppelganger,-10.7689,-10.5399,"(36.0, -21.0428)","(23.0, -6.8124)",0.5058,99.5671,266.5059
195_City Lights (somunia nyankobrq Remix),-12.55,-11.47,"(2.0, -56.7418)","(22.0, -8.295)",0.566,209.4439,214.0288
196_Coffin Dance (Camellia Remix),-10.7124,-8.81,"(127.0, -70.9089)","(67.0, -6.0323)",0.4796,168.7626,170.1895
197_Knife Party – Bonfire,-9.8808,-8.24,"(127.0, -46.0503)","(56.0, -3.1787)",0.0364,271.0697,272.0899
198_[FUTURE FUNK PACK] Tokyo Chopp ft Shiki(TMNS) (Moe Shop Remix),-13.152,-10.44,"(58.0, -28.0025)","(71.0, -3.5948)",0.1952,184.6915,186.6869
199_Precious Summer !,-11.6948,-10.68,"(127.0, -58.0757)","(0.0, -5.97)",0.2817,245.1562,246.9195
200_Dream X Scramble,-11.1433,-10.69,"(25.0, -27.145)","(112.0, -7.58)",0.5028,88.9788,100.0765
201_DenporuP – World on Color – feat Hatsune Miku,-24.44,-11.0399,"(0.0, -24.44)","(0.0, -24.44)",1.1168,0.1857,220.0428
202_The Spectre – Wallmap,-12.6926,-10.6,"(119.0, -61.0765)","(48.0, -5.005)",1.068,191.3788,206.2734
203_Matrix & Futurebound – Control (ft Max Marshall),-10.6219,-9.02,"(127.0, -59.7145)","(46.0, -4.9715)",2.7978,225.3264,229.342
204_KDA – THE BADDEST ft (G)I-DLE Bea Miller Wolftyla,-12.6516,-11.6199,"(94.0, -33.3712)","(47.0, -7.6831)",0.0946,161.1,175.089
205_yasuoP – Electric Angelえれくとりっく・えんじぇぅ – Kagamine Rin Kagamine Ren – ArrangeCover 【Wall Map】(Fixed),-18.51,-8.64,"(0.0, -18.51)","(0.0, -18.51)",0.6142,0.2786,191.668
206_THE BADDEST (ft (G)I-DLE Bea Miller Wolftyla) – KDA,-12.6516,-11.6199,"(94.0, -33.3712)","(47.0, -7.6831)",0.0946,161.1,175.089
207_Gonna Get Funky – GRiZ,-10.9651,-7.27,"(127.0, -63.9137)","(44.0, -2.3337)",0.0497,209.8619,211.3817
208_Lost It – Virtual Riot ft Pearl Andersson,-12.8186,-10.05,"(127.0, -40.594)","(104.0, -5.0637)",0.0864,183.902,184.1447
209_[Jubeat] ぺのれり- Fairy Fair [WallMap],-14.9625,-11.96,"(122.0, -66.3418)","(108.0, -7.0253)",1.4853,129.0565,135.0113
210_Danny Elfman – This Is Halloween,-19.6436,-17.46,"(127.0, -66.8664)","(99.0, -9.8989)",0.4682,197.9268,199.7253
211_Donkey Donk – Ryu☆,-10.0177,-8.36,"(126.0, -51.5884)","(77.0, -4.6186)",0.5397,259.3668,262.5121
212_Kobaryo – Theme for Psychopath Justice,-12.9905,-10.13,"(124.0, -33.3406)","(47.0, -5.4485)",1.2591,130.9605,136.0794
213_164 – 天ノ弱 featGUMI【BEGINNER】,-12.8995,-11.49,"(124.0, -44.7046)","(12.0, -7.8906)",4.4963,183.3447,192.9099
214_DECO27 – Ghost Rule feat Hatsune Miku【BEGINNER】,-11.4457,-10.11,"(126.0, -36.7496)","(115.0, -5.9732)",0.1089,205.7752,206.3895
216_DECO27 – HIBANA feat Hatsune Miku【BEGINNER】,-11.1802,-10.56,"(80.0, -27.14)","(0.0, -7.43)",0.2296,202.5244,202.8945
217_Highway to Hell – ACDC,-15.8899,-13.74,"(1.0, -56.1264)","(94.0, -9.459)",0.1744,206.8764,207.0508
218_Hirahashi Book Store – Network 【Wall Map】(Fixed),-14.6996,-12.1199,"(127.0, -68.2478)","(31.0, -7.7852)",1.6304,191.0537,194.1395
219_Boogie Back [Dragon Ball Super 8th Ending] – Miyu Inoue,-12.2186,-10.84,"(115.0, -56.4362)","(31.0, -6.6743)",1.3469,182.5088,204.0442
220_MARETU – Venom (MARETU Remix),-10.7392,-9.97,"(126.0, -37.2168)","(16.0, -7.145)",3.9368,195.9299,202.1866
221_Vengaboys – Boom Boom Boom Boom!! (Prezioso Alyon & Mylian Bootleg),-11.6381,-9.7899,"(127.0, -53.3875)","(118.0, -5.1685)",0.0461,179.1651,179.643
222_[Alphabeat – Marshmello Pack] Anne-Marie & Marshmello – FRIENDS,-11.4798,-10.32,"(3.0, -36.2391)","(47.0, -4.4223)",1.1443,200.156,205.5303
223_[Alphabeat – Marshmello Pack] Crankdat & Marshmello – Falling To Pieces,-11.3991,-9.26,"(122.0, -71.97)","(31.0, -4.3726)",0.0594,165.7904,173.9976
224_[Alphabeat – Marshmello Pack] Marshmello x Selena Gomez – Wolves,-15.285,-13.0,"(127.0, -70.6832)","(45.0, -6.6784)",0.4713,195.1404,197.1127
225_Uruha Rushia – Ghost In A Flower (cover),-20.8622,-17.01,"(87.0, -57.964)","(37.0, -11.1263)",5.4371,237.4472,247.7442
226_[Alphabeat – Marshmello Pack] A Day To Remember & Marshmello – Rescue Me,-10.0924,-8.92,"(48.0, -30.1775)","(37.0, -3.6198)",0.0539,238.8404,239.0944
227_Tsukiakari no Michishirube (TV Size) [Darker than Black Ryuusei no Gemini Opening] – Stereopony,-13.3833,-12.01,"(127.0, -27.7868)","(14.0, -8.3398)",0.9743,234.3351,235.3095
228_Kienai Kizuna Hatsune Miku,-12.2395,-11.4,"(126.0, -34.4677)","(72.0, -7.6662)",0.8963,221.4254,224.9999
229_[Alphabeat – Marshmello Pack] Marshmello – Summer,-12.0898,-9.07,"(127.0, -44.7774)","(116.0, -5.07)",0.0608,169.5521,170.236
230_[Alphabeat – Marshmello Pack] Marshmello & Halsey – Be Kind,-14.3029,-11.52,"(127.0, -60.9794)","(30.0, -6.6948)",1.1834,171.0846,173.1849
231_Franky Nuts – Lose Control (ft Danyka Nadeau),-11.5323,-9.66,"(127.0, -63.8546)","(100.0, -5.9062)",1.2257,221.5183,224.292
232_Brand-new World [The Asterisk War Opening] – Shiena Nishizawa,-20.0539,-12.15,"(0.0, -24.6)","(1.0, -15.5079)",2.1201,2.0433,245.4566
233_Kamisama Neji Maki (Wind-Up God) – Kemu ft Gumi,-13.42,-13.0,"(46.0, -27.5193)","(0.0, -8.98)",1.5659,213.9951,226.1496
234_Your Reality – Doki Doki Literature Club,-25.0159,-21.92,"(127.0, -64.6489)","(104.0, -11.5443)",0.034,181.4407,181.6834
235_kemu – Roku Chounen to Ichiya Monogatari【BEGINNER】,-28.6422,-11.2899,"(5.0, -37.0118)","(0.0, -22.52)",2.0422,11.5635,220.1357
236_Marshmello x Ookay – Chasing Colors (ft Noah Cyrus),-10.9723,-9.47,"(127.0, -39.9865)","(5.0, -6.1989)",0.0578,193.5606,193.6185
237_Tokyo Machine – PAUSE,-14.3182,-8.02,"(1.0, -17.555)","(2.0, -9.8496)",0.0229,3.6687,184.0286
238_Gurenge [227 Soundtrack] – Reika Sato,-15.54,-13.23,"(124.0, -66.1324)","(82.0, -9.1843)",1.8413,89.9076,94.2483
239_Kano – Nadamesukashi Negotiation [Uzaki-chan Wants to Hang Out! Opening],-12.9273,-12.56,"(107.0, -57.2643)","(86.0, -8.9625)",0.5614,233.8249,279.4042
240_YUNGBLUD Halsey – 11 Minutes ft Travis Barker,-15.7369,-11.5399,"(127.0, -66.8703)","(49.0, -7.2935)",0.6894,232.8961,235.2859
241_Sweet Arms – I Swear (TV Size)  Date A Live 3 Opening,-11.4573,-10.9,"(70.0, -28.3006)","(62.0, -7.4578)",0.8497,306.2247,338.8593
242_[NoodleGames Vol2] Rivers in the Desert – Persona 5,-15.0073,-13.63,"(94.0, -29.2498)","(67.0, -8.5299)",0.5943,310.265,310.9953
243_[NoodleGames Vol2] Martin O’Donnell and Michael Salvatori – Rain,-23.1186,-19.34,"(119.0, -46.2588)","(92.0, -12.908)",0.3843,185.9198,186.3042
244_[NoodleGames Vol2] Weight of the World Kowaretasekainouta – NieR Automata,-17.6462,-14.76,"(120.0, -47.4099)","(38.0, -7.9464)",0.9075,339.1592,340.0667
245_[90° One Saber demo] Sherlock Opening,-14.9425,-12.91,"(81.0, -57.2567)","(37.0, -9.5899)",3.2337,55.3142,58.548
246_[NoodleGames Vol2] Last Surprise – Persona 5,-14.3513,-12.89,"(126.0, -57.776)","(68.0, -9.2125)",0.6004,232.4317,235.8556
247_Vitality,-14.4321,-12.65,"(127.0, -41.1943)","(47.0, -8.6242)",0.0569,226.4874,226.9968
248_[NoodleGames Vol2] Wake Up Get Up Get Out There – Persona 5,-16.5986,-13.91,"(126.0, -44.4543)","(0.0, -8.99)",0.5791,274.3205,278.232
249_Tetris 99 Megamix,-12.1645,-11.7899,"(127.0, -28.1918)","(91.0, -6.8063)",0.9279,291.3639,292.8141
250_KRUSTY KRAB PIZZA,-27.4235,-22.82,"(56.0, -64.233)","(7.0, -14.6993)",0.6114,306.8425,307.4539
251_Harujion – YOASOBI,-11.1121,-9.6199,"(123.0, -45.9917)","(38.0, -5.7078)",2.0102,195.4655,204.1836
252_不可幸力,-14.7163,-11.21,"(2.0, -28.7334)","(13.0, -6.7854)",0.0998,84.0097,201.0136
253_Let’s Get Real (RWBY Volume 7 Soundtrack) – Jeff Williams ft Casey Lee Williams & Erin Reilly,-13.3882,-12.31,"(125.0, -36.7045)","(56.0, -8.2406)",0.1078,221.0375,221.1453
254_[NoodleGames Vol2] Louise Penman – Baptism of Fire (CliqTrack remix),-12.4824,-11.07,"(127.0, -67.2975)","(116.0, -7.3365)",0.0017,171.8276,172.8348
255_[NoodleGames Vol2] A Hat In Time & Plasma3Music – Trainwreck Of Electro Swing,-13.5269,-10.25,"(127.0, -37.2399)","(33.0, -6.1212)",0.0294,246.8745,247.4768
256_KSHMR – Over And Out,-15.1446,-11.48,"(125.0, -64.8963)","(50.0, -5.0265)",0.1933,181.162,185.2593
257_chocolate box (watakana cover),-11.4551,-10.49,"(127.0, -54.58)","(109.0, -7.3306)",1.3077,232.1066,234.0909
258_Sheep In The Light,-11.2013,-9.56,"(48.0, -45.14)","(45.0, -5.7143)",1.7685,85.3101,198.4947
259_[NoodleGames Vol2] League of Legends – RISE (ft The Glitch Mob Mako and The Word Alive),-15.2905,-12.49,"(127.0, -60.9094)","(94.0, -7.6139)",5.7295,203.3139,210.1511
260_[NoodleGames Vol2] C418 – Sweden,-29.3074,-20.2,"(126.0, -61.9187)","(57.0, -10.5975)",1.1324,212.1375,215.6542
261_[NoodleGames Vol2] Bryan Tyler – Pyrates Beware – Assassin’s Creed IV Black Flag OST,-18.5118,-15.88,"(126.0, -67.3045)","(95.0, -10.1839)",0.1963,195.1404,198.3089
262_NULCTRL (Meiso FLIP),-9.6457,-8.1199,"(4.0, -40.5625)","(60.0, -4.5249)",0.4508,211.3015,214.7134
263_Din Don Dan (Extended Mix),-12.1168,-10.22,"(126.0, -57.7464)","(11.0, -6.0519)",0.6938,208.0507,211.3353
264_[KSHMR Pack] KSHMR x Marnik – Mandala (ft Mitaka),-12.9301,-10.11,"(2.0, -25.9984)","(53.0, -6.1707)",0.0036,111.5951,177.8753
265_Kasai Harcores – Drop The Fire,-11.4735,-9.64,"(127.0, -60.5552)","(109.0, -6.1583)",1.2566,234.5215,236.5754
266_[KSHMR Pack] KSHMR x Marnik – Bazaar,-12.8717,-10.93,"(127.0, -46.2214)","(105.0, -5.1609)",0.4395,202.3851,203.3709
267_Better Now – Post Malone,-12.5076,-10.0399,"(126.0, -59.2421)","(47.0, -4.9657)",0.1153,228.4843,231.3157
268_Avalanche,-8.6788,-7.33,"(127.0, -55.725)","(97.0, -4.204)",2.282,117.9109,120.7655
269_Sword Art Online Opening Compilation 2,-13.8035,-12.34,"(127.0, -66.4723)","(118.0, -9.9235)",0.5137,254.2585,256.5678
270_Moglii  Tonic Water (Snocker Cot Remix)  Chroma 20,-16.2744,-12.75,"(115.0, -30.7512)","(107.0, -4.4181)",3.6543,135.3258,140.6882
271_Kasai Harcores – Drop The Fire,-11.4735,-9.64,"(127.0, -60.5552)","(109.0, -6.1583)",1.2566,234.5215,236.5754
272_Dazzling White Town [Love Live! Soundtrack] – Saint Snow,-27.9452,-19.2399,"(5.0, -41.5895)","(15.0, -12.8064)",2.171,16.997,142.1631
273_Calliope Mori – Excuse My Rudeness But Could You Please RIP,-23.63,-12.9,"(0.0, -23.63)","(0.0, -23.63)",3.9151,1.4396,192.0627
274_Rail Romanesque – MItuki Nakae [まいてつ] レイルロマネスク,-14.9585,-11.94,"(127.0, -66.8842)","(73.0, -8.4143)",0.9321,96.177,97.5807
275_bonk,-22.3744,-13.92,"(101.0, -51.8324)","(99.0, -5.1531)",0.09,56.8424,59.9989
276_FOOL & SKUM – Hysteria (v2),-11.799,-9.7899,"(127.0, -63.5568)","(57.0, -3.2153)",2.1376,211.0693,214.4003
277_“Only Us” featuring Laura Dreyfuss and Ben Platt  DEAR EVAN HANSEN,-16.5527,-13.85,"(127.0, -43.6689)","(73.0, -6.9368)",0.0612,223.8593,223.9205
278_FINAL FANTASY XVI – Awakening (Alex Moukala Mix),-15.536,-14.49,"(127.0, -51.7599)","(3.0, -9.5686)",0.6715,70.2759,70.9475
279_[KSHMR Pack] KSHMR – Wildcard (ft Sidnie Tipton),-11.7932,-10.43,"(127.0, -58.9954)","(42.0, -5.0534)",1.4041,186.6884,188.9393
280_DAOKO × 米津玄師 – 打上花火 feat96猫 & 天月,-19.0333,-12.1,"(1.0, -30.8313)","(12.0, -11.6475)",0.1508,59.0715,293.2433
281_[KSHMR Pack] KSHMR x Firebeatz – No Heroes (ft Luciana),-14.0982,-12.14,"(127.0, -46.2659)","(28.0, -6.905)",0.4815,156.9834,157.465
282_“Only Us” featuring Laura Dreyfuss and Ben Platt  DEAR EVAN HANSEN,-16.5527,-13.85,"(127.0, -43.6689)","(73.0, -6.9368)",0.0612,223.8593,223.9205
283_だんだん高くなる (Getting Higher and Higher) – 40meterP feat Hastune Miku [Noodle Extensions],-9.8738,-8.7899,"(125.0, -55.2692)","(0.0, -5.7699)",2.4926,140.9915,145.8086
284_Have You Ever Had a Dream (Metal Remix),-16.473,-11.2899,"(123.0, -70.26)","(70.0, -5.0075)",1.0517,19.7369,21.6163
285_Avalanche,-18.4422,-14.2,"(119.0, -31.4721)","(112.0, -4.865)",0.1043,202.7901,202.8945
286_Mirror [227 Soundtrack] – Sakura Fujima,-10.9811,-10.07,"(121.0, -37.088)","(56.0, -5.8612)",5.016,260.1563,278.0462
287_I made a shark sound MAD – IOSYS,-12.0596,-10.91,"(126.0, -64.6688)","(20.0, -8.1837)",1.4122,54.3811,56.5743
288_Calliope Mori – Excuse My Rudeness But Could You Please RIP,-23.63,-12.9,"(0.0, -23.63)","(0.0, -23.63)",3.9151,1.4396,192.0627
289_September Eurobeat Remix,-13.0724,-12.28,"(124.0, -67.8565)","(31.0, -9.3262)",2.468,193.7937,202.3027
290_Rising Hope [227 Soundtrack] – Reika Sato,-14.5429,-13.1,"(124.0, -70.8325)","(66.0, -8.9731)",2.3997,90.9293,96.222
291_Chocolate (Choco Choco) – Soul Control,-15.8169,-15.11,"(92.0, -31.7196)","(103.0, -12.1487)",0.002,178.6543,178.7689
292_Grilletto [227 Soundtrack] – Yuki Tojo,-13.389,-11.81,"(126.0, -57.2342)","(79.0, -8.3278)",0.9234,260.5743,264.9382
293_John Mayer – New Light,-15.0827,-11.36,"(125.0, -60.7171)","(46.0, -5.3468)",5.4553,216.9208,227.2402
294_Hall Of The Mountain King – Apocalyptica,-14.4054,-12.31,"(126.0, -60.7345)","(13.0, -7.9713)",0.4331,206.1003,209.0245
295_PSYQUIV & K feat DJKatsuya,-19.0799,-9.69,"(0.0, -19.0798)","(0.0, -19.0798)",0.088,0.3715,336.0265
296_Hana ranman -Flowers- – TERRA,-11.8063,-10.5,"(127.0, -46.5802)","(19.0, -7.8287)",0.1364,103.7137,103.8501
297_Disturbia – Rihanna,-17.1017,-14.15,"(126.0, -48.4306)","(47.0, -9.3554)",1.3034,259.3204,261.3623
298_Fuyu no Hanashi [Given OST] – Given,-11.9163,-11.19,"(127.0, -25.4435)","(0.0, -7.19)",0.9375,205.2643,206.4359
299_Shawn Mendes Zedd – Lost In Japan,-13.8435,-10.2899,"(124.0, -65.785)","(46.0, -4.7175)",1.9355,197.1838,204.7985
300_Ryllz – Nemesis V12,-15.7457,-9.72,"(124.0, -65.56)","(100.0, -3.6725)",0.0851,156.2238,160.9824
301_BON VOYAGE! (TV Size) [One Piece 4th Opening] – Bon-Bon Blanco,-16.524,-16.04,"(25.0, -25.9804)","(23.0, -10.9896)",4.0436,106.4122,110.4558
