Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
2 Souls - Lonely (ft Nara) [NCS Release]_82,-15.5211,-10.5,"(91.0, -44.3539)","(19.0, -3.6429)",0.025,192.0754,194.9997
2SCOOPS - Donuts [NCS Release]_328,-13.2499,-10.5,"(126.0, -65.3531)","(87.0, -4.5145)",0.025,171.9205,174.0208
3rd Prototype - After the Storm [NCS Release]_130,-14.2721,-11.78,"(127.0, -51.2153)","(107.0, -7.0867)",1.848,212.4625,215.0153
Acejax feat Danilyon - By My Side [NCS Release]_291,-16.37,-12.5399,"(127.0, -47.7734)","(74.0, -6.1642)",0.0622,177.9524,178.0147
